微信支付账单明细
微信昵称：[演示账号]
起始日期：[2026-04-01] 终止日期：[2026-09-01]
导出类型：[全部]
----------------------微信支付账单明细列表--------------------
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-09-01 11:48:02,商户消费,滴滴出行,/快车行程,支出,¥32.44,零钱,支付成功,4200000002260000,/,,
2026-09-01 13:42:22,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥30.39,零钱,支付成功,4200000002270000,/,,
2026-09-01 13:47:54,商户消费,学校食堂,/就餐,支出,¥8.67,零钱,支付成功,4200000002280000,/,,
2026-09-01 14:07:35,商户消费,滴滴出行,/快车行程,支出,¥19.21,零钱,支付成功,4200000002290000,/,,
2026-09-01 14:28:25,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥22.90,零钱,支付成功,4200000002300000,/,,
2026-09-01 14:31:30,商户消费,学校食堂,/就餐,支出,¥16.75,零钱,支付成功,4200000002310000,/,,
2026-09-01 14:52:01,商户消费,学校食堂,/就餐,支出,¥11.51,零钱,支付成功,4200000002320000,/,,
2026-09-01 15:20:17,商户消费,沃尔玛,/超市购物,支出,¥132.33,零钱,支付成功,4200000002330000,/,,
2026-09-01 15:29:40,商户消费,哈啰单车,/骑行,支出,¥3.80,零钱,支付成功,4200000002340000,/,,
2026-09-01 15:31:54,商户消费,滴滴出行,/快车行程,支出,¥23.49,零钱,支付成功,4200000002350000,/,,
2026-09-01 15:35:42,商户消费,深圳地铁,/乘车码,支出,¥4.50,零钱,支付成功,4200000002360000,/,,
2026-09-01 16:23:59,商户消费,美团外卖,/午餐订单,支出,¥20.49,零钱,支付成功,4200000002370000,/,,
2026-09-01 16:53:14,商户消费,大药房,/药品,支出,¥17.57,零钱,支付成功,4200000002380000,/,,
2026-09-01 17:13:10,商户消费,嘉立创,/PCB打样+元器件,支出,¥87.13,零钱,支付成功,4200000002390000,/,,
2026-09-01 17:47:11,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥11.16,零钱,支付成功,4200000002400000,/,,
2026-09-01 18:11:13,商户消费,学校食堂,/就餐,支出,¥8.91,零钱,支付成功,4200000002410000,/,,
2026-09-01 18:38:25,商户消费,学校食堂,/就餐,支出,¥19.12,零钱,支付成功,4200000002420000,/,,
2026-09-01 18:38:51,商户消费,哈啰单车,/骑行,支出,¥1.69,零钱,支付成功,4200000002430000,/,,
2026-09-01 19:16:22,商户消费,沃尔玛,/超市购物,支出,¥164.63,零钱,支付成功,4200000002440000,/,,
2026-09-01 19:20:18,商户消费,大药房,/药品,支出,¥72.99,零钱,支付成功,4200000002450000,/,,
2026-09-01 19:35:36,商户消费,学校食堂,/就餐,支出,¥18.79,零钱,支付成功,4200000002460000,/,,
2026-09-01 19:40:43,商户消费,12306,/高铁票,支出,¥504.67,零钱,支付成功,4200000002470000,/,,
